iter	Passed	Remaining
883	3643	478
884	3647	473
885	3651	469
886	3655	465
887	3660	461
888	3664	457
889	3668	453
890	3672	449
891	3677	445
892	3681	441
893	3686	437
894	3691	433
895	3696	429
896	3700	424
897	3705	420
898	3709	416
899	3713	412
900	3717	408
901	3722	404
902	3726	400
903	3730	396
904	3735	392
905	3739	387
906	3743	383
907	3747	379
908	3751	375
909	3755	371
910	3759	367
911	3763	363
912	3767	359
913	3772	354
914	3777	350
915	3781	346
916	3785	342
917	3789	338
918	3793	334
919	3798	330
920	3802	326
921	3806	322
922	3811	317
923	3815	313
924	3819	309
925	3823	305
926	3828	301
927	3832	297
928	3837	293
929	3841	289
930	3845	285
931	3849	280
932	3854	276
933	3858	272
934	3862	268
935	3867	264
936	3871	260
937	3876	256
938	3880	252
939	3884	247
940	3889	243
941	3893	239
942	3897	235
943	3902	231
944	3906	227
945	3910	223
946	3914	219
947	3919	214
948	3923	210
949	3927	206
950	3931	202
951	3935	198
952	3940	194
953	3944	190
954	3949	186
955	3953	181
956	3957	177
957	3962	173
958	3968	169
959	3972	165
960	3977	161
961	3981	157
962	3986	153
963	3990	149
964	3994	144
965	3999	140
966	4003	136
967	4007	132
968	4011	128
969	4016	124
970	4020	120
971	4025	115
972	4028	111
973	4033	107
974	4037	103
975	4041	99
976	4045	95
977	4049	91
978	4054	86
979	4058	82
980	4063	78
981	4067	74
982	4071	70
983	4075	66
984	4079	62
985	4083	57
986	4087	53
987	4092	49
988	4096	45
989	4101	41
990	4105	37
991	4109	33
992	4113	28
993	4118	24
994	4122	20
995	4127	16
996	4132	12
997	4136	8
998	4140	4
999	4145	0
